Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
94406-232201,94406,Fire Protection,TBD,,,,,"2""FF/AL 316/T&S/HW (2)3/4"
9402-19200-22,9402-,Spare Parts-MG,TBD,,,,,SPARE PARTS: 94020=741605
LA220-4066-4,LA220,Spare Parts-MG,TBD,,,,,"6"" 9402 BKUP/DIAPHR 1/16"
94020P-16030511,94020,Pressure / Vacuum Vents,TBD,,,,,"10"" AL P-PAL/CL CV NO/WGT"
94130P-1107052,94130,Pressure / Vacuum Vents,TBD,,,,,"2"" P-PALL,CV,316SS,A/G,SP"
3005,3005,,TBD,,,,,FINAL DOCUMENTATION
LA220-3230,LA220,Spare Parts-MG,TBD,,,,,"10"" GSKT F/BRTHR VLV MTD"
94020P-0703032,94020,Pressure / Vacuum Vents,TBD,,,,,"12""P-PAL ASY|AL/FEP|A/G|<"
9451-11350,9451-,Spare Parts-MG,TBD,,,,,"10"" DIAPHRAGM .025""VITON"
820604,82060,L&J Spare Parts,TBD,,,,,ASSY-L&J HWY - STD MASTER
608-566,608-5,Spare Parts-MG,TBD,,,,,VALVE DISC STOP ALUM
5940,5940,,TBD,,,,,"PARTS - PAID SERVICE,WW"
9502-11832,9502-,Spare Parts-MG,TBD,,,,,"8""COVER SEAL RING PTFE .0"
9202-11530,9202-,Spare Parts-MG,TBD,,,,,CA CHECKER HAND MACHINED
9422-10515,9422-,Spare Parts-MG,TBD,,,,,"20"" OUTER DISC GPTFE"
121249P-WF1720,12124,Spare Parts-MG,TBD,,,,,TEMP CONTROL/PROGRAM WF17
94020P-0306012,94020,Pressure / Vacuum Vents,TBD,,,,,"4"" V-PAL ASY/316/OV A/G S"
94020P-0402011,94020,Pressure / Vacuum Vents,TBD,,,,,"6""VAC PAL ASSY AL/CP SP=S"
94020P-0308062,94020,Pressure / Vacuum Vents,TBD,,,,,"4""V-PAL ASY/A316/OV A/G S"
94020P-1106041,94020,Pressure / Vacuum Vents,TBD,,,,,"2""V-PAL ASSY C-PAL 316SS"
4381176,43811,In-House Repair,TBD,,,,,REPAIR MCG3800/MCG3900 PC
LA220-3781-1,LA220,Spare Parts-MG,TBD,,,,,"3"" BACK-UP DISC .031""GPTF"
94241-0620,94241,Pressure / Vacuum Vents,Standard,94241-06021,,,"4"" 125 lb. FF Flange / Steel / Aluminum / Stainless Steel / Stainless Steel","4""F/V STL BASE|AL HOOD|SS"
9618-11130,9618-,Spare Parts-MG,TBD,,,,,"2""SEAT SEAL F/NPT STYLE G"
827128,82712,L&J Spare Parts,TBD,,,,,ASY 1600F COND 110/20P/2R
9402-13050,9402-,Spare Parts-MG,TBD,,,,,"3"" DEEP DRAWN SEAT SPIN 3"
JB3485-17,JB348,Spare Parts-MG,TBD,,,,,GWSA W/O HSG W/ADJ BUSH
9402-15513,9402-,Spare Parts-MG,TBD,,,,,"6""BACK-UP DISC,EXPO"
SP519B-WJ,SP519,Spare Parts-MG,TBD,,,,,O-RING #2-474 TEF ENCAP S
544010,54401,L&J Spare Parts,TBD,,,,,"O-RING SRV DOME BUNA""N"" B"
160215,16021,L&J Spare Parts,TBD,,,,,"8""150# 316SS RF FLNG W/2"""
94241-1021001,94241,Pressure / Vacuum Vents,SP,,SP,94241-10121,"12"" 125 lb. FF Flange / Aluminum / Aluminum / Stainless Steel / Stainless Steel","12""ANSI-AL|AL/HOOD|SS/HWR"
SP519B-QH,SP519,Spare Parts-MG,TBD,,,,,O-RING #2-262 TEF ENCAP S
9464-11092,9464-,Spare Parts-MG,TBD,,,,,POPPET ASSY 316/NBR
617-610,617-6,,TBD,,,,,"10""94241 / 6"" 94550 ALUM"
92021-1A2005,92021,Automatic Tank Gauges,Standard,92021-1A2005,,,NoKit,KIT1A2 316/AB(JA3540-4) 6
9411-10901,9411-,Spare Parts-MG,TBD,,,,,"12""PRESS COVER GASKET GPT"
LA220-3781-33,LA220,Spare Parts-MG,TBD,,,,,"2"" SPACER .062""GPTFE"
D44161,D4416,"Delavan Spare Parts (110,220,320)",TBD,,,,,"ENCLOSURE NEMA 4X,GRAY, S"
9402-11300,9402-,Spare Parts-MG,TBD,,,,,"12"" PRESSURE BACK-UP DISC"
94020R12030100,94020,Pressure / Vacuum Vents,TBD,,,,,"2""X3""BRTHR AL/FF SP/STD"
94241-1001001,94241,Pressure / Vacuum Vents,SP,,SP,94241-10111,"12"" 125 lb. FF Flange / Aluminum / Aluminum / Zinc Plated Steel / Galvanized Steel","12""FREE VENT AL/BASE+HOOD"
SP519B-QY,SP519,Spare Parts-MG,TBD,,,,,O-RING #2-279 TEF ENCAP S
LA223-894,LA223,Spare Parts-MG,TBD,,,,,"24"" DIAPH 94221 .005 FEP"
92302-2A001,92302,Automatic Tank Gauges,Standard,92302-2A001,,,NoKit,KIT2A ONLY NO/BRDS  26'HT
LD258-1166,LD258,Spare Parts-MG,TBD,,,,,TAPE & CABLE ASSEMBLY
LA220-3781-28,LA220,Spare Parts-MG,TBD,,,,,"8"" BACK-UP DISC .031""GPTF"
9399-13440-1,9399-,Spare Parts-MG,TBD,,,,,"PULLY HSG 90DEG ALUM 3/4"""
4381147,43811,In-House Repair,TBD,,,,,REPAIR 820308  CONDULET
94020P-1208631,94020,Pressure / Vacuum Vents,TBD,,,,,"3"" V-PAL ASY 316|PTFE|CL-"
852861-001,85286,Spare Parts-MG,TBD,,,,,"3""PRESS SEAT GASKET N-809"
9399-13410,9399-,Spare Parts-MG,TBD,,,,,TAPE & CABLE PULLEY DELRI
92500-1A3,92500,Automatic Tank Gauges,Standard,92500-1A3,,,NoKit,INSTL KIT CONE ROOF-90FT/
92302-195500,92302,Automatic Tank Gauges,Standard,92302-195500,,,NoKit,LLI ALUM/BRDS 11.96M
9402-13540,9402-,Spare Parts-MG,TBD,,,,,"8""OV PRESPAL SIDE GUIDE 3"
9464-13060,9464-,Spare Parts-MG,TBD,,,,,"12"" COVER GASKET GPTFE"
94020P-1108034,94020,Pressure / Vacuum Vents,TBD,,,,,"2""VAC/PAL SS/HING <5"""
SP608-A30,SP608,Spare Parts-MG,TBD,,,,,"1/8""GOR-TEX 30"" LONG"
94020P-1602011,94020,Pressure / Vacuum Vents,TBD,,,,,"10"" AL V-PAL/CL CV SP=STD"
9430-11682,9430-,Spare Parts-MG,TBD,,,,,"4"" T/B GSKT 1/16"" KLINGER"
9713-10875,9713-,Spare Parts-MG,TBD,,,,,"10"" ALUM PALLET ASSEMBLY"
95021-021211,95021,Gauge Hatches,Standard,95021-06A211,,,"Quick Clamp / Aluminum / 6"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","6"" G/H Q-CLMP+LOK AL,FEP+"
94020=14010300,94020,Pressure / Vacuum Vents,Standard,94020-3A3B10,,,Open Vent / 3in / ALUMINUM I-ST / ANSI-FF 150# / MED / Standard / Lead / FEP,"3"" B/V AL/FF OV STD<SP<5"""
9464-11490,9464-,Spare Parts-MG,TBD,,,,,"3"" COVER GASKET 1/32""GPTF"
851445-009,85144,Spare Parts-MG,TBD,,,,,"3"" DIAPHRAGM SPACER  N809"
300-0202020101,300-0,Temperature Devices,TBD,,,,,"MCG 300 RTD,24""L,HEAD,WEL"
94020P-1307022,94020,Pressure / Vacuum Vents,TBD,,,,,"4"" CV P-PALL,316SS-A/G SP"
851445-021,85144,Spare Parts-MG,TBD,,,,,"6""SPACER 1/16 VITON"
95021-024211,95021,Gauge Hatches,Standard,95021-06A241,,,"Quick Clamp / Aluminum / 6"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","6""ANSI LOCK CLMP ALUM/EPD"
9402-17240,9402-,Spare Parts-MG,TBD,,,,,"4"" DIAPH XOS .005 FEP TEF"
94130P-0207031,94130,Pressure / Vacuum Vents,TBD,,,,,"3""PRES PALLET ASY SS <2.9"
438124,43812,In-House Repair,TBD,,,,,REPAIR MCG7000  MONITOR
9464-12091,9464-,Spare Parts-MG,TBD,,,,,"4""MAIN BODY DIAP/VITON"
9715-10393,9715-,Spare Parts-MG,TBD,,,,,"SPRING 20""FL|15#R|6.6""SH|"
LA220-3781-32,LA220,Spare Parts-MG,TBD,,,,,"2"" BACK-UP DISC .031""GPTF"
D43959,D4395,Delavan Capacitance Spare Parts,TBD,,,,,AMP KIT 511-B
92500-31450300,92500,Automatic Tank Gauges,Standard,92500-31450300,,,NoKit,"GAUGE-METR,INN, ROOF READ"
4381253,43812,In-House Repair,TBD,,,,,IHPR MCG 1350/1350M GLD
851786-050,85178,Spare Parts-MG,TBD,,,,,"12"" BACK-UP DISC .063""GPT"
94241-0600002,94241,Pressure / Vacuum Vents,SP,,SP,94241-06011,"4"" 125 lb. FF Flange / Steel / Aluminum / Zinc Plated Steel / Galvanized Steel","4"" FREE/VT STL AL/HOOD W/"
9440-13752,9440-,Spare Parts-MG,TBD,,,,,"4"" 94406 INSULATION JACKE"
LA220-3728-13,LA220,Spare Parts-MG,TBD,,,,,"10"" 9402 PTFE BACK-UP DIS"
9427-11151,9427-,Spare Parts-MG,TBD,,,,,"1/2"" VITON SEAT DISC"
680-677-1163,680-6,Spare Parts-MG,TBD,,,,,PRES/RPL/WGHT XB1990 02
815704,81570,L&J Spare Parts,TBD,,,,,CBL-1600F STANDARD COND T
9464-13061,9464-,Spare Parts-MG,TBD,,,,,"12"" COVER GASKET BUNA-N"
9202-14650,9202-,Spare Parts-MG,TBD,,,,,ACCUTRAK90 ASSY F/VAR 250
680-677-2074,680-6,Spare Parts-MG,TBD,,,,,SS RPL/PRS/WGHT PER S/O (
9202-10530,9202-,Spare Parts-MG,TBD,,,,,DECIMAL WHEEL ASS'Y
95021-023111,95021,Gauge Hatches,Standard,95021-06A131,,,"Screw Down / Aluminum / 6"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","6""FF G/H LOK-SCRW ALUM/BU"
SP126-A,SP126,Spare Parts-MG,TBD,,,,,AIR VENT 3/8 NPT
566-717-1,566-7,Spare Parts-MG,TBD,,,,,"24"" DIFRAM SPACER DISC GP"
821581,82158,L&J Spare Parts,TBD,,,,,ASSY-1600F 220VAC CONDULE
9422-11820,9422-,Spare Parts-MG,TBD,,,,,"18"" SPACER 1/16"" N8090"
94020P-0506011,94020,Pressure / Vacuum Vents,TBD,,,,,"8"" VAC PAL ASY SS/FEP SP="
9730-10425,9730-,Spare Parts-MG,TBD,,,,,"REG 1/2""NPT AL 250#/0-30#"
9451-11373,9451-,Spare Parts-MG,TBD,,,,,"10"" XOS GASKET .025""VITON"
9464-13120,9464-,Spare Parts-MG,TBD,,,,,"12"" MAIN DIAPHRAGM .010""F"
9411-10331,9411-,Spare Parts-MG,TBD,,,,,"4"" VAC SPACER 1/16""N8090"
9713-10211,9713-,Spare Parts-MG,TBD,,,,,"8"" FUSE HOLDER WELD 316"
122232,12223,,TBD,,,,,DIG/REL EXP MOD 4ACIN 4RE
508106 (G90071,50810,In-House Repairs,TBD,,,,,IHPR 94270 TNK BLNKTNG VL
9464-12392,9464-,Spare Parts-MG,TBD,,,,,"4"" SPACER .094""GPTFE 3.0"""
851786-071,85178,Spare Parts-MG,TBD,,,,,"3"" DIAPHRAGM .010"" PFA 50"
575299,57529,L&J Spare Parts,TBD,,,,,"DISPLACER 1500XL 1.5"" TAP"
810479,81047,L&J Spare Parts,TBD,,,,,MCG 2000SSI DOME ASSEMBLY
851786-062,85178,Spare Parts-MG,TBD,,,,,"4"" S/L DIAP 4.967""OD .020"
9402-17321,9402-,Spare Parts-MG,TBD,,,,,"6""BACK UP DISC XOS .010 P"
94160P-0603032,94160,Pressure / Vacuum Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"10"" P-PAL ASSY|ALUM|A/G|S"
520-501,520-5,Spare Parts-MG,TBD,,,,,FOOT WHEEL DUREZ-INNAGE
9421-11120,9421-,Spare Parts-MG,TBD,,,,,"16"" XPAND-O-SEAL DIAPHRAG"
810731,81073,L&J Spare Parts,TBD,,,,,"ASSY-6"" DIA 316 S.S. DISP"
680-677-2077,680-6,Spare Parts-MG,TBD,,,,,P-WGT LEAD F/(I1880 17#11
9411-10604,9411-,Spare Parts-MG,TBD,,,,,"8""VAC BACK-UP DISC EPDM"
TL1038,TL103,Spare Parts-MG,TBD,,,,,ALIGNMENT KIT
9711-10230,9711-,Spare Parts-MG,TBD,,,,,"SEAL DISC BUNA .385""OD|.0"
94020P-0208032,94020,Pressure / Vacuum Vents,TBD,,,,,"3"" VAC PAL A/G SS/FEP/LD"
9399-13480,9399-,Spare Parts-MG,TBD,,,,,45D 1 1/2 PUL HSG CA/CA
MP569-1093,MP569,Spare Parts-MG,TBD,,,,,3/32 HAST-C 7X7 STRAND WI
815719,81571,L&J Spare Parts,TBD,,,,,CBL-1600F GLD/DUAL AO
9430-17261,9430-,Spare Parts-MG,TBD,,,,,"GASKET KIT-3""94309 FA"
9411-10491,9411-,Spare Parts-MG,TBD,,,,,"6"" RETAINER DRILLED .025"""
9464-11370,9464-,Spare Parts-MG,TBD,,,,,"3""MAIN BODY DIAPHGRAM .00"
9311-10930,9311-,Spare Parts-MG,TBD,,,,,TAPE
94241-0533,94241,Pressure / Vacuum Vents,Standard,94241-05331,,,"3"" 125 lb. FF Flange / Steel / 316 SS / 316 SS / 316 SS","3""FF F/V CS/BODY 316:HOOD"
SP76-DC,SP76-,Spare Parts-MG,TBD,,,,,O-RING BUNA-N #2-244/4.23
9402-17340,9402-,Spare Parts-MG,TBD,,,,,"10"" XOS BACKUP DISK 1/32"
9420-10443,9420-,Spare Parts-MG,TBD,,,,,"20"" TFL CTD FIBERGL DIAPH"
95650-04,95650,Spare Parts-MG,TBD,,,,,"8""SWING LINE PIPE CLAMP"
248-25-1,248-2,Spare Parts-MG,TBD,,,,,"6""FF 125# FLANGE GASKET G"
514-504,514-5,Spare Parts-MG,TBD,,,,,TAPE THIMBLE 316SS
851109-004,85110,Spare Parts-MG,TBD,,,,,"6"" RETAINING PLATE AL .25"
9411-10520,9411-,Spare Parts-MG,TBD,,,,,"6"" VAC COVER GSKT N-8090"
9202-12790,9202-,Spare Parts-MG,TBD,,,,,SHAFT MTG PLATE ASSY FTIN
9431-10833,9431-,Spare Parts-MG,TBD,,,,,"6"" 150# T/B GSKT KLINGR C"
9521-10621,9521-,Spare Parts-MG,TBD,,,,,"36"" MH/CVR GASKET KIT NEO"
9421-11110,9421-,Spare Parts-MG,TBD,,,,,"16"" XOS GASKET RING .062"""
95021-022111,95021,Gauge Hatches,Standard,95021-06A121,,,"Screw Down / Aluminum / 6"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","6""FF LK+SCRW/DWN ALUM/VIT"
94160P-0501011,94160,Pressure / Vacuum Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"8"" P-PAL/CL ALUM SP=STD"
9402-18760,9402-,Spare Parts-MG,TBD,,,,,"4"" AIR GROOVE PALLET 316/"
9420-11860,9420-,Spare Parts-MG,TBD,,,,,"36"" BACK-UP DISC N8090 1/"
121258,12125,Spare Parts-MG,TBD,,,,,PLC 4POS RLY OUT SPDT 7A
9716-11420,9716-,Spare Parts-MG,TBD,,,,,DIAP.NYLON CTD/BUNA 26-3/
94110=12000000,94110,Pressure / Vacuum Vents,Standard,94110-2A2A10,,,2in / LOW / Standard / Lead / ALUMINUM I-ST / ANSI-FF 150#,"2"" VACUUM VENT ALUM SP=ST"
680-677-1116-4,680-6,Spare Parts-MG,TBD,,,,,"INCR/WGT 1/4""WC|LEAD|6"" 9"
4360   ZL70461,4360,Docs - Engineering,TBD,,,,,ENGINEERING CHARGES
508101 (L9007 1,50810,In-House Repairs,TBD,,,,,IHPR SERV 94XXX BREATHER
508101 SH15611A,50810,In-House Repairs,TBD,,,,,IHPR SERV 94XXX BREATHER
508104 (B90041,50810,In-House Repairs,TBD,,,,,IHPR SERV 942XX EMERGENCY
518101,51810,In-House Repairs,TBD,,,,,IHPR PILOT VALVE
680-677-2056,680-6,Spare Parts-MG,TBD,,,,,PRS/RPL/WGHT/PVC/LEAD  WE
9203-10350,9203-,Spare Parts-MG,TBD,,,,,SPACER
9202-10960,9202-,Spare Parts-MG,TBD,,,,,ADHESIVE 3M
9464-12383,9464-,Spare Parts-MG,TBD,,,,,"6"" PALLET DIAPHGRAM .010"""
544024,54402,L&J Spare Parts,TBD,,,,,"O-RING VITON 1.237""ID X ."
9502-11833,9502-,Spare Parts-MG,TBD,,,,,"10"" G/H DIAPHGRAM .020""PT"
9618-11123,9618-,Spare Parts-MG,TBD,,,,,"2"" SEAT DISC 316SS"
9730-10061,9730-,Spare Parts-MG,TBD,,,,,"STRAINER 1/2"" 316/304 20"
9411-10750,9411-,Spare Parts-MG,TBD,,,,,"10"" RETAINER PLATE ALUM"
121249P-VC2430,12124,Spare Parts-MG,TBD,,,,,TEMP CONTROL/PROGRAM VC24
9416-11134,9416-,Spare Parts-MG,TBD,,,,,"20"" A/G DIAPHRAGM .020""PT"
SP364-AE,SP364,Spare Parts-MG,TBD,,,,,PIPE SEAL PTFE -400/+500~
9716-12171,9716-,Spare Parts-MG,TBD,,,,,"2""-8"" SPRING SPACER ALUMI"
9411-10745,9411-,Spare Parts-MG,TBD,,,,,"10"" DIAPH/BACK DISC .010"
508101 (L90061A,50810,In-House Repairs,TBD,,,,,IHPR SERV 94XXX BREATHER
9414-11570,9414-,Spare Parts-MG,TBD,,,,,"8""SPR/LD PALLET AL/MACH."
680-677-6028,680-6,Spare Parts-MG,TBD,,,,,REPL 316/WGT (E2300/04 4#
851786-054,85178,Spare Parts-MG,TBD,,,,,"12"" DIAPHRAGM .020""FEP 14"
9730-15163,9730-,Spare Parts-MG,TBD,,,,,97300 IGN REPAIR KIT 45DE
9464-12395,9464-,Spare Parts-MG,TBD,,,,,"10"" SPACER .094""GPTFE 7.8"
9710-10550,9710-,Spare Parts-MG,TBD,,,,,HANDLE HD ALUM 7/16D 5/16
9713-10171,9713-,Spare Parts-MG,TBD,,,,,"6"" FUSE HOLDER WELD 316"
9717-10951,9717-,Spare Parts-MG,TBD,,,,,"8"" PALLET MACH 316SS"
9402-16560,9402-,Spare Parts-MG,TBD,,,,,"6"" I-SEAT HOOD 18-8SS; 4"
9431-10832,9431-,Spare Parts-MG,TBD,,,,,"4"" (150#) T/B FIBRE GASKE"
95021-021111,95021,Gauge Hatches,Standard,95021-06A111,,,"Screw Down / Aluminum / 6"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","6""FF G/H LOK-SCRW ALUM/GP"
9451-11231,9451-,Spare Parts-MG,TBD,,,,,"8"" BACKUP GPTFE      1/16"
LA220-3728-8,LA220,Spare Parts-MG,TBD,,,,,"4""PTFE .010 TEFLON BACK-U"
9717-10292,9717-,Spare Parts-MG,TBD,,,,,"3/8""ID STEM GUIDE BEARING"
SP111-BN,SP111,Spare Parts-MG,TBD,,,,,ROLL PIN 1/8 X 1-1/4 SS
9715-10392,9715-,Spare Parts-MG,TBD,,,,,"SPRING 20""FL|9.6#R|5.7""SH"
248-35-1,248-3,Spare Parts-MG,TBD,,,,,"14""X 125# FLG GASKET GPTF"
851786-020,85178,Spare Parts-MG,TBD,,,,,"10""DIAPH/FAIRP.025-NEOP/N"
122149,12214,Spare Parts-MG,TBD,,,,,30MM IND 120V 4X/PTT/LED/
9427-10552,9427-,Spare Parts-MG,TBD,,,,,"94270 1/2"" FLTR W/CV ASSY"
121279,12127,Spare Parts-MG,TBD,,,,,"HMI PANEL 5.7"""
9202-11000,9202-,Spare Parts-MG,TBD,,,,,GAGE HD MTG ADAPTER
9402-17170,9402-,Spare Parts-MG,TBD,,,,,"10""VAC PAL I-ST SIDE GUID"
JB3010-26,JB301,Spare Parts-MG,TBD,,,,,"PAN FLOAT 316SS 20"" C/C E"
9230-11465,9230-,Spare Parts-MG,TBD,,,,,"ALUM BRD FT-IN 31'4""/39'3"
9427-11021,9427-,Spare Parts-MG,TBD,,,,,"1""94270 MAIN SEAT DISC VI"
810596,81059,L&J Spare Parts,TBD,,,,,110VAC TO 24VDC CONVERTER
9633-13754,9633-,Spare Parts-MG,TBD,,,,,"8"" SPRING ASTM A229 80#/I"
851445-003,85144,Spare Parts-MG,TBD,,,,,"4"" SPACER - CORK"
9404-13102,9404-,Spare Parts-MG,TBD,,,,,"6"" VAC PAL 316SS DRILLED"
820683,82068,Spare Parts-MG,TBD,,,,,PCB ASSY-EDGE GUIDE EMITT
9420-11850,9420-,Spare Parts-MG,TBD,,,,,"36"" DIAPHRAGM FEP .010"
9451-10530,9451-,Spare Parts-MG,TBD,,,,,SPACER #2011-T3 ALUM
9203-10670,9203-,Spare Parts-MG,TBD,,,,,OUTER HSG ABLY
94241-0703,94241,Pressure / Vacuum Vents,Standard,94241-07311,,,"6"" 125 lb. FF Flange / Steel / 316 SS / Zinc Plated Steel / Galvanized Steel","6""FF 316/HD STL/BASE"
SP76L-DX,SP76L,Spare Parts-MG,TBD,,,,,O-RING BUNA #2-261 40/50D
9411-10621,9411-,Spare Parts-MG,TBD,,,,,"8"" VAC RETAIN PLT 316SS"
LA223-894-8,LA223,Spare Parts-MG,TBD,,,,,"24"" DIAPHRAGM .010""PFA XO"
9402-18990,9402-,Spare Parts-MG,TBD,,,,,"10""BUNA AG DIAPH F/AL PAL"
BA18205,BA182,Omnitrol Spare Parts,TBD,,,,,"DISP ASSY 2 1/2""X3"" 316SS"
690-2953,690-2,Spare Parts-MG,TBD,,,,,ADJUSTABLE VALVE DISC
9710-11410,9710-,Spare Parts-MG,TBD,,,,,97100 AIR INLET KIT - BUN
851185-003,85118,Spare Parts-MG,TBD,,,,,"4"" PHENOLIC SEAT-DUREZ 5"
SP518-QW,SP518,Spare Parts-MG,TBD,,,,,"O-RING,BUNA""N"",90 DURA,#2"
248-21-1,248-2,Spare Parts-MG,TBD,,,,,"4"" 125# FLG GSKT GPTFE"
D43770,D4377,"Delavan Spare Parts (110,220,320)",TBD,,,,,110-B FINAL ASSY
9427-11050,9427-,Spare Parts-MG,TBD,,,,,"1""/2"" 94270 PILOT GASKET"
LA220-3544-3,LA220,Spare Parts-MG,TBD,,,,,"2"" CV SID/GUIDE F/2PSI 9."
9411-10130,9411-,Spare Parts-MG,TBD,,,,,"2"" PRESSURE COVER GASKET"
94020P-0602011,94020,Pressure / Vacuum Vents,TBD,,,,,"10""VAC-PAL AL,CL/PAL,SP=S"
SP519A-DP,SP519,Spare Parts-MG,TBD,,,,,O-RING TEFLON #2-255/5.60
9402-11880,9402-,Spare Parts-MG,TBD,,,,,"12"" PRESS DIAPH .020""FEP"
567-522,567-5,Spare Parts-MG,TBD,,,,,S HOOK STL
851786-024,85178,Spare Parts-MG,TBD,,,,,"4"" BUNA-N DIAPHRAGM"
121253,12125,Spare Parts-MG,TBD,,,,,PLC 8POS RLY OUT 1A 2-COM
9411-10193,9411-,Spare Parts-MG,TBD,,,,,"3""DIAPHRM SPACER 1/16""GPT"
9406-26005-1,9406-,Spare Parts-MG,TBD,,,,,"8""DIAP TEF|10.75""OD|.75"""
508101 (I90051,50810,In-House Repairs,TBD,,,,,IHPR SERV 94XXX BREATHER
LA240-2717,LA240,Spare Parts-MG,TBD,,,,,SPRING SR/.9#/IN.17-7PH (
SP381-G,SP381,Spare Parts-MG,TBD,,,,,9/32 RETAINING RING PH15-
9411-10681,9411-,Spare Parts-MG,TBD,,,,,"10"" ALUMINUM SEAT MACH"
4381   ZD88001,4381,In-House Repair,TBD,,,,,IN HOUSE REPAIRS
121249P-SI2080,12124,Spare Parts-MG,TBD,,,,,TEMP CONTROL/PROGRAM SI20
95011-0102,95011,Gauge Hatches,Standard,95011-0102,,,NoKit,"8""NPT GAGE HATCH-AL,ATEX,"
9710-10110,9710-,Spare Parts-MG,TBD,,,,,"COVER MACH AL W/1""CONN"
9406-26001,9406-,Spare Parts-MG,TBD,,,,,"3""DIAP FEP 2243|4.75""OD|."
9402-18680,9402-,Spare Parts-MG,TBD,,,,,"3""DIAPH F/ALUM A/GRV .010"
9402-19022,9402-,Spare Parts-MG,TBD,,,,,"4""DIAPHRAGM VITON/AIR PAL"
94241-0801002,94241,Pressure / Vacuum Vents,SP,,SP,94241-08111,"8"" 125 lb. FF Flange / Aluminum / Aluminum / Zinc Plated Steel / Galvanized Steel","8""AL BASE/HOOD|ZNPL HDWR|"
248-26,248-2,Spare Parts-MG,TBD,,,,,"8"" FLANGE GASKET N8090"
9420-10444,9420-,Spare Parts-MG,TBD,,,,,PRESS DIAPH 500 DEG SVC P
SP364-W,SP364,Spare Parts-MG,TBD,,,,,TEFLON PIPE SEALANT PASTE
530-925-1,530-9,Spare Parts-MG,TBD,,,,,"20""VAC DIAP GASKET 1/16 G"
9406-26006-1,9406-,Spare Parts-MG,TBD,,,,,"10"" DIAPHRAGM FEP 2250 .0"
9404-10660,9404-,Spare Parts-MG,TBD,,,,,"4"" PR SEAT GASKET .062""N8"
579-1,579-1,Spare Parts-MG,TBD,,,,,FELT WASHER
9730-13313,9730-,Spare Parts-MG,TBD,,,,,"THMCPL 54""P/354""L 2200F 6"
851508-001,85150,Spare Parts-MG,TBD,,,,,PALLET SIDE GUIDE-303 SS
JA3540-3,JA354,Spare Parts-MG,TBD,,,,,"ANCHOR BAR 13-1/4"" STL"
LA220-3781-30,LA220,Spare Parts-MG,TBD,,,,,"12"" C/V COVER GASKET GPTF"
9402-17290,9402-,Spare Parts-MG,TBD,,,,,"2"" BACK-UP DISC .031""N809"
4381246,43812,In-House Repair,TBD,,,,,REPAIR MCG1090  1090
9451-11241,9451-,Spare Parts-MG,TBD,,,,,"8"" DIAPHRAM .020"" FEP"
811902,81190,L&J Spare Parts,TBD,,,,,ASSY-110VAC/48VDC CONV AT
938128,93812,L&J Spare Parts,TBD,,,,,REPAIR MCG8100  DIGITAL M
9411-10511,9411-,Spare Parts-MG,TBD,,,,,"6"" PRESS CVR GASKET .063"""
690-2952,690-2,Spare Parts-MG,TBD,,,,,OPERATING PAN CLAMP ALUM
SP76-RA,SP76-,Spare Parts-MG,TBD,,,,,O-RING BUNA #2-281 14.984
9712-10472,9712-,Spare Parts-MG,TBD,,,,,"1/2"" S/G ISOL/VLV 36""C/C"
SP519A-QQ,SP519,Spare Parts-MG,TBD,,,,,"O-RING #2-271/9.234""ID TE"
9411-10131,9411-,Spare Parts-MG,TBD,,,,,"2""PRESS COVER GASKT GPTFE"
91298,9129,Spare Parts-MG,TBD,,,,,#N/A
94020P-0107032,94020,Pressure / Vacuum Vents,TBD,,,,,"2"" P-PAL/ASY SS|TFE|A/G|L"
9402-12980-2,9402-,Spare Parts-MG,TBD,,,,,"6"" C/V COVER GASKET GPTFE"
852871-001,85287,Spare Parts-MG,TBD,,,,,"2""VAC SEAT GASKET 1/16 N8"
9710-10521,9710-,Spare Parts-MG,TBD,,,,,"TURN PLATE SHAFT 1/4"" HOL"
851787-006,85178,Spare Parts-MG,TBD,,,,,"10"" COVER GASKET N-8090"
94020P-0502011,94020,Pressure / Vacuum Vents,TBD,,,,,"8""VAC/PAL/ASY AL SP/STD C"
94020P-0601011,94020,Pressure / Vacuum Vents,TBD,,,,,"10""P-PAL OV AL,CL/PAL,SP="
B18098-106,B1809,Omnitrol Spare Parts,TBD,,,,,"FLOAT 2-1/2"" X 4"" 316SS"
9402-18780,9402-,Spare Parts-MG,TBD,,,,,"8"" AIR GROOVE PALLET 316/"
851133-007,85113,Spare Parts-MG,TBD,,,,,"12"" PALLET - ALUM  2#9OZ"
94241-0431,94241,Pressure / Vacuum Vents,Standard,94241-04131,,,"2"" 125 lb. FF Flange / Aluminum / Aluminum / 316 SS / 316 SS","2""FF F/V AL:BASE+HD 316SS"
9710-10600,9710-,Spare Parts-MG,TBD,,,,,"COVER MACH AL W/1""CONN 10"
